notifying_member,distribution_date,title,description,products_covered,hs_code_s,ics_code_s,objectives,objectives_free_text,keywords,specific_regions_or_countries_likely_to_be_affected,final_date_for_comments,proposed_adoption_date,proposed_entry_into_force_date,notification_type,notified_document,technical_regulation_article_2_9_2,technical_regulation_urgent_article_2_10_1,conformity_assessment_procedure_article_5_6_2,conformity_assessment_procedure_urgent_article_5_7_1,technical_regulation_local_government_article_3_2,conformity_assessment_procedure_local_government_article_7_2,other,relevant_documents,codex_alimentarius_commission,world_organization_for_animal_health_oie,international_plant_protection_convention,none,does_this_proposed_regulation_conform_to_the_relevant_international_standard,if_no_describe_whenever_possible_how_and_why_it_deviates_from_the_international_standard,products_covered_raw,ics_codes_raw,hs_codes_raw,ics_list,hs_list,is_sps,is_tbt
United States of America,2011-07-18,Notice of Availability of Pest Risk Analysis for the Importation of Dragon Fruit From Thailand Into the Continental United States (Docket No. APHIS-2011-0047),"The Animal and Plant Health Inspection Service (APHIS) is advising the public that we have prepared a pest risk analysis that evaluates the risks associated with the importation into the continental United States of dragon fruit from Thailand. Based on this analysis, we believe that the application of one or more designated phytosanitary measures will be sufficient to mitigate the risks of introducing or disseminating plant pests or noxious weeds via the importation of dragon fruit from Thailand. We are making the pest risk analysis available to the public for review and comment._x000D_ _x000D_ Federal Register: 30 June 2011 (Volume 76, Number 126), Notice Page 38349",Dragon fruit,"081090 - Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, pitahaya and other edible fruit (excl. nuts, bananas, dates, figs, pineapples, avocadoes, guavas, mangoes, mangosteens, papaws ""papayas"", citrus fruit, grapes, melons, apples, pears quinces, apricots, cherries, peaches, plums, sloes, strawberries, raspberries, mulberries, blackberries, loganberries, black, white or redcurrants, gooseberries, cranberries, fruits of the genus Vaccinium, kiwifruit and durians)",,Plant protection (SPS),,Pests; Plant health,Thailand,,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2011-0047-0001,,,,,,,,,No,No,Yes,No,Yes,,Dragon fruit,,"081090 - Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, pitahaya and other edible fruit (excl. nuts, bananas, dates, figs, pineapples, avocadoes, guavas, mangoes, mangosteens, papaws ""papayas"", citrus fruit, grapes, melons, apples, pears quinces, apricots, cherries, peaches, plums, sloes, strawberries, raspberries, mulberries, blackberries, loganberries, black, white or redcurrants, gooseberries, cranberries, fruits of the genus Vaccinium, kiwifruit and durians)",[],[],True,False
United States of America,2013-02-13,"Importation of Fresh Citrus Fruit from Uruguay, Including Citrus Hybrids and Fortunella spp., into the Continental United States","The Animal and Plant Health Inspection Service (APHIS) of the US Department of Agriculture is proposing to amend the fruits and vegetables regulations to allow the importation of several varieties of fresh citrus fruit, as well as Citrus hybrids and the Citrus-related genus Fortunella, from Uruguay into the continental United States. As a condition of entry, the fruit would have to be produced in accordance with a systems approach that would include requirements for importation in commercial consignments, pest monitoring and pest control practices, orchard sanitation and packinghouse procedures designed to exclude the quarantine pests, and treatment. The fruit would also be required to be accompanied by a phytosanitary certificate issued by the national plant protection organization of Uruguay with an additional declaration confirming that the fruit is free from all quarantine pests and has been produced in accordance with the systems approach. This action would allow for the importation of fresh citrus fruit, including Citrus hybrids and the Citrus-related genus Fortunella, from Uruguay while continuing to provide protection against the introduction of plant pests into the United States._x000D_ _x000D_ Federal Register Volume 78, Number 25 (Wednesday, 6 February 2013), Pages 8435-8441",Citrus,"0805 - Citrus fruit, fresh or dried",,Plant protection (SPS),,Pests; Plant health,Uruguay,2013-04-08 00:00:00,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2011-0060-0001,,,,,,,,,No,No,Yes,No,Yes,,Citrus,,"0805 - Citrus fruit, fresh or dried",[],['0805'],True,False
United States of America,2011-10-07,Notice of Availability of a Pest Risk Analysis for the Importation of Fresh Tejocote Fruit From Mexico (Docket No. APHIS-2011-0077),"The Animal and Plant Health Inspection Service (APHIS) is advising the public that we have prepared a pest risk analysis that evaluates the risks associated with the importation into the continental United States of fresh tejocote fruit from Mexico. Based on this analysis, we believe that the application of one or more designated phytosanitary measures will be sufficient to mitigate the risks of introducing or disseminating plant pests or noxious weeds via the importation of fresh tejocote fruit from Mexico. We are making the pest risk analysis available to the public for review and comment._x000D_ _x000D_ Federal Register Volume 76, Number 189 (Thursday, September 29, 2011), Pages 60449-60450",Fresh tejocote fruit,"081090 - Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, pitahaya and other edible fruit (excl. nuts, bananas, dates, figs, pineapples, avocadoes, guavas, mangoes, mangosteens, papaws ""papayas"", citrus fruit, grapes, melons, apples, pears quinces, apricots, cherries, peaches, plums, sloes, strawberries, raspberries, mulberries, blackberries, loganberries, black, white or redcurrants, gooseberries, cranberries, fruits of the genus Vaccinium, kiwifruit and durians)",,Plant protection (SPS),,Pests; Plant health,Mexico,2011-11-28 00:00:00,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2011-0077-0001,,,,,,,,,No,No,Yes,No,Yes,,Fresh tejocote fruit,,"081090 - Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, pitahaya and other edible fruit (excl. nuts, bananas, dates, figs, pineapples, avocadoes, guavas, mangoes, mangosteens, papaws ""papayas"", citrus fruit, grapes, melons, apples, pears quinces, apricots, cherries, peaches, plums, sloes, strawberries, raspberries, mulberries, blackberries, loganberries, black, white or redcurrants, gooseberries, cranberries, fruits of the genus Vaccinium, kiwifruit and durians)",[],[],True,False
United States of America,2011-08-22,Notice of Availability of a Pest Risk Analysis for the Importation of Shredded Lettuce from Egypt (Docket No. APHIS-2011-0078),"The Animal and Plant Health Inspection Service (APHIS) is advising the public that we have prepared a pest risk analysis that evaluates the risks associated with the importation into the continental United States of fresh shredded lettuce from Egypt. Based on this analysis, we believe that the application of one or more designated phytosanitary measures will be sufficient to mitigate the risks of introducing or disseminating plant pests or noxious weeds via the importation of fresh shredded lettuce from Egypt. We are making the pest risk analysis available to the public for review and comment._x000D_ _x000D_ Federal Register: 17 August 2011, Volume 76, Number 159, Pages 50992-50993",Shredded lettuce,07051 - - Lettuce:,,Plant protection (SPS),,Pests; Plant health,Egypt,2011-10-17 00:00:00,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2011-0078-0001,,,,,,,,,No,No,Yes,No,Yes,,Shredded lettuce,,07051 - - Lettuce:,[],[],True,False
United States of America,2014-04-22,Final Rule: Consolidation of Permit Procedures; Denial and Revocation of Permits (Docket # APHIS-2011-0085),"The Animal and Plant Health Inspection Service (APHIS) is consolidating the regulations concerning the issuance of permits for the importation and interstate movement of a wide variety of regulated plants, plant products, and other articles. We are also making corresponding changes to the regulations concerning permits for the importation and interstate movement of noxious weeds and the importation of honeybees and other beekeeping articles. The regulations will also include new provisions for the denial of a permit and the revocation of a permit once issued. These changes will make our permit procedures more transparent and easier to use, allow us to evaluate a permit application more quickly and thoroughly, and help us hold permittees accountable for complying with permit conditions._x000D_ _x000D_ Federal Register, Vol. 79, No. 69, Thursday, 10 April 2014, pages 19805-19812.",Plants and plant products; honey bees,"0106 - Live animals (excl. horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.); 06 - LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE",,Plant protection (SPS),,Pests; Plant health,,,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2011-0085-0005,,,,,,,,,No,No,Yes,No,Yes,,Plants and plant products; honey bees,,"0106 - Live animals (excl. horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.); 06 - LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE",[],['0106'],True,False
United States of America,2011-10-07,Notice of Availability of a Pest Risk Analysis for the Importation of Pomegranate From India Into the Continental United States (Docket No. APHIS-2011-0087),"The Animal and Plant Health Inspection Service (APHIS) is advising the public that we have prepared a pest risk analysis that evaluates the risks associated with the importation into the continental United States of fresh pomegranate fruit from India. Based on that analysis, we believe that the application of one or more designated phytosanitary measures will be sufficient to mitigate the risks of introducing or disseminating plant pests or noxious weeds via the importation of fresh pomegranate fruit from India. We are making the pest risk analysis available to the public for review and comment.",Pomegranate,"0810 - Fresh strawberries, raspberries, blackberries, back, white or redcurrants, gooseberries and other edible fruits (excl. nuts, bananas, dates, figs, pineapples, avocadoes, guavas, mangoes, mangosteens, papaws ""papayas"", citrus fruit, grapes, melons, apples, pears, quinces, apricots, cherries, peaches, plums and sloes)",,Plant protection (SPS),,Pests; Plant health,India,2011-11-28 00:00:00,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2011-0087-0001,,,,,,,,,No,No,Yes,No,Yes,,Pomegranate,,"0810 - Fresh strawberries, raspberries, blackberries, back, white or redcurrants, gooseberries and other edible fruits (excl. nuts, bananas, dates, figs, pineapples, avocadoes, guavas, mangoes, mangosteens, papaws ""papayas"", citrus fruit, grapes, melons, apples, pears, quinces, apricots, cherries, peaches, plums and sloes)",[],['0810'],True,False
United States of America,2011-10-04,Notice of Determination of Pest-Free Areas in Australia; Request for Comments (Docket No. APHIS-2011-0088),"The Animal and Plant Health Inspection Service is advising the public that we have received a request from the Government of Australia to recognize additional areas as pest-free areas for Mediterranean fruit fly (Ceratitis capitata) or Queensland fruit fly (Bactrocera tryoni). After reviewing the documentation submitted in support of this request, the Administrator of the Animal and Plant Health Inspection Service has determined that these areas meet the criteria in our regulations for recognition as pest-free areas. We are making that determination, as well as an evaluation document we have prepared in connection with this action, available for review and comment._x000D_ _x000D_ Federal Register: 14 September 2011, Volume 76, Number 178, Notice Pages 56730-56731",Plants,"06 - LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE",,Plant protection (SPS),,Pests; Plant health; Fruit fly,Australia,2011-11-14 00:00:00,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2011-0088-0001,,,,,,,,,No,No,Yes,No,Yes,,Plants,,"06 - LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE",[],[],True,False
United States of America,2014-02-06,Proposed Rule: National Poultry Improvement Plan and Auxiliary Provisions (Docket No. APHIS-2011-0101),"The Animal and Plant Health Inspection Service (APHIS) is proposing to amend the National Poultry Improvement Plan (NPIP, the Plan) and its auxiliary provisions by removing the descriptions of specific tests and sanitation procedures from the regulations. Instead, we would require tests to be performed and sanitation to be maintained in a manner approved by the Administrator. Approved procedures would be listed in an NPIP Program Standards document, which we would make available on the NPIP Web site. In addition, we are proposing to establish new compartment classifications for defined subpopulations of primary breeding turkeys, primary egg-type chickens, and primary meat-type chickens. We would also provide new or modified sampling and testing procedures for Plan participants and participating flocks. The proposed changes were voted on and approved by the voting delegates at the Plan's 2010 and 2012 National Plan Conferences. These changes would streamline the provisions of the Plan, keep those provisions current with changes in the poultry industry, and provide for the use of new sampling and testing procedures._x000D_ _x000D_ Federal Register, Vol. 79, No. 18, Tuesday, 28 January 2014, pages 4538-4567.",Poultry,"0105 - Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""",,Animal health (SPS),,Animal health,,2014-03-31 00:00:00,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2011-0101-0003,,,,,,,,,No,Yes,No,No,Yes,,Poultry,,"0105 - Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""",[],['0105'],True,False
United States of America,2013-02-08,Proposed Rule: Importation of Fresh Apricots From Continental Spain,"The Animal and Plant Health Inspection Service (APHIS) of the US Department of Agriculture is proposing to amend the fruits and vegetables regulations to allow the importation into the United States of fresh apricots from continental Spain. As a condition of entry, fresh apricots from continental Spain would have to be produced in accordance with a systems approach that would include registration of production locations and packinghouses, pest monitoring, sanitary practices, chemical and biological controls, and phytosanitary treatment. The fruit would also have to be imported in commercial consignments, with each consignment identified throughout its movement from place of production to port of entry in the United States. Consignments would have to be accompanied by a phytosanitary certificate issued by the national plant protection organization of Spain certifying that the fruit is free from all quarantine pests and has been produced in accordance with the systems approach. This proposed rule would allow for the importation of fresh apricots from continental Spain into the United States while continuing to provide protection against the introduction of quarantine pests._x000D_ _x000D_ Federal Register Volume 78, Number 20 (Wednesday, 30 January 2013), Pages 6227-6232",Apricots,080910 - Fresh apricots,,Plant protection (SPS),,Pests; Pest- or Disease- free Regions / Regionalization; Plant health,Spain,2013-04-01 00:00:00,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2011-0132-0001,,,,,,,,,No,No,Yes,No,Yes,,Apricots,,080910 - Fresh apricots,[],[],True,False
United States of America,2013-02-08,Proposed Rule: Importation of Avocados From Continental Spain,"The Animal and Plant Health Inspection Service (APHIS) is proposing to amend the fruits and vegetables regulations to allow the importation of avocados from continental Spain (excluding the Balaeric Islands and Canary Islands) into the United States. As a condition of entry, avocados from Spain would have to be produced in accordance with a systems approach that would include requirements for importation in commercial consignments; registration and monitoring of places of production and packinghouses; grove sanitation; and inspection for quarantine pests by the national plant protection organization of Spain. Consignments of avocados other than the Hass variety would also have to be treated for the Mediterranean fruit fly either prior to moving to the United States or upon arrival prior to release. Consignments would also be required to be accompanied by a phytosanitary certificate with an additional declaration stating that the avocados were grown and inspected and found to be free of pests in accordance with the proposed requirements. This action would allow for the importation of avocados from Spain into the United States while continuing to provide protection against the introduction of quarantine pests._x000D_ _x000D_ Federal Register Volume 78, Number 20 (Wednesday, 30 January 2013), Pages 6222-6227",Avocados,080440 - Fresh or dried avocados,,Plant protection (SPS),,Pests; Pest- or Disease- free Regions / Regionalization; Plant health; Fruit fly,Spain,2013-04-01 00:00:00,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2012-0002-0001,,,,,,,,,No,No,Yes,No,Yes,,Avocados,,080440 - Fresh or dried avocados,[],[],True,False
United States of America,2013-01-15,Importation of Fresh Barhi Dates From Israel Into the United States (Docket No. APHIS-2012-0004),"The Animal and Plant Health Inspection Service (APHIS) is advising the public that we have prepared a pest risk analysis that evaluates the risks associated with the importation of fresh dates of the cultivar Barhi from Israel into the United States. Based on that analysis, we have concluded that the application of one or more designated phytosanitary measures will be sufficient to mitigate the pest risk. In addition, we are advising the public that we have prepared a treatment evaluation document that describes a new treatment schedule for Ceratitis capitata in Barhi dates. We are making the pest risk assessment and treatment evaluation document available to the public for review and comment._x000D_ _x000D_ Federal Register Volume 78, Number 6 (Wednesday, 9 January 2013), Pages 1825-1826",Dates,080410 - Fresh or dried dates,,Plant protection (SPS),,Pests; Plant health,Israel,2013-03-11 00:00:00,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2012-0004-0001,,,,,,,,,No,No,Yes,No,Yes,,Dates,,080410 - Fresh or dried dates,[],[],True,False
United States of America,2012-03-13,"Notice of Availability of a Pest Risk Analysis for the Importation of Litchi, Longan, and Rambutan From the Philippines Into the Continental United States (Docket No. APHIS-2012-0005)","The Animal and Plant Health Inspection Service (APHIS) is advising the public that we have prepared a pest risk analysis that evaluates the risks associated with the importation into the continental United States of fresh litchi, longan, and rambutan fruit from the Philippines. Based on that analysis, we believe that the application of one or more designated phytosanitary measures will be sufficient to mitigate the risks of introducing or disseminating plant pests or noxious weeds via the importation of fresh fruit of litchi, longan, and rambutan from the Philippines. We are making the pest risk analysis available to the public for review and comment._x000D_ _x000D_ Federal Register: Volume 77, Number 44 (Tuesday, 6 March 2012), Pages 13260-13261","Litchi, longan, and rambutan","081090 - Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, pitahaya and other edible fruit (excl. nuts, bananas, dates, figs, pineapples, avocadoes, guavas, mangoes, mangosteens, papaws ""papayas"", citrus fruit, grapes, melons, apples, pears quinces, apricots, cherries, peaches, plums, sloes, strawberries, raspberries, mulberries, blackberries, loganberries, black, white or redcurrants, gooseberries, cranberries, fruits of the genus Vaccinium, kiwifruit and durians)",,Plant protection (SPS),,Pests; Plant health,Philippines,,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2012-0005-0001,,,,,,,,,No,No,Yes,No,Yes,,"Litchi, longan, and rambutan",,"081090 - Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, pitahaya and other edible fruit (excl. nuts, bananas, dates, figs, pineapples, avocadoes, guavas, mangoes, mangosteens, papaws ""papayas"", citrus fruit, grapes, melons, apples, pears quinces, apricots, cherries, peaches, plums, sloes, strawberries, raspberries, mulberries, blackberries, loganberries, black, white or redcurrants, gooseberries, cranberries, fruits of the genus Vaccinium, kiwifruit and durians)",[],[],True,False
United States of America,2012-07-19,Notice of Establishment of a Commodity Import Approval Process Web Site (Docket No. APHIS-2012-0006),The Animal and Plant Health Inspection Service is announcing the creation of a new Plant Protection and Quarantine Web site that will provide stakeholders with information about the commodity import approval process for plants and plant products and give them the opportunity to consult with us on risk assessments as they are being drafted. We are doing this in response to stakeholder requests for more information about the commodity import approval process and the opportunity to comment on draft risk assessments. This website will make the commodity import approval process more visible to stakeholders and allow them to comment on draft risk assessments._x000D_ _x000D_,Plants and plant products,"06 - LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE",,Plant protection (SPS),,Pests; Plant health,,,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2012-0006-0001,,,,,,,,,No,No,Yes,No,Yes,,Plants and plant products,,"06 - LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE",[],[],True,False
United States of America,2012-05-02,Notice of Availability of a Pest Risk Analysis for the Importation of Strawberry Fruit From Egypt Into the Continental United States (Docket No. APHIS-2012-0009)_x000D_,"The Animal and Plant Health Inspection Service (APHIS) is advising the public that we have prepared a pest risk analysis that evaluates the risks associated with the importation into the continental United States of fresh strawberry fruit from Egypt. Based on that analysis, we believe that the application of one or more designated phytosanitary measures will be sufficient to mitigate the risks of introducing or disseminating plant pests or noxious weeds via the importation of fresh strawberry fruit from Egypt. We are making the pest risk analysis available to the public for review and comment._x000D_ _x000D_ Federal Register Volume 77, Number 73, Monday, April 16, 2012, Pages 22557-22558",Strawberry fruit,"060220 - Edible fruit or nut trees, shrubs and bushes, whether or not grafted",,Plant protection (SPS),,Plant health; Pests,Egypt,2012-06-15 00:00:00,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2012-0009-0001,,,,,,,,,No,No,Yes,No,Yes,,Strawberry fruit,,"060220 - Edible fruit or nut trees, shrubs and bushes, whether or not grafted",[],[],True,False
United States of America,2013-08-14,Proposed Rule: Importation of Papayas from Peru (Docket No. APHIS-2012-0014),"The Animal and Plant Health Inspection Service (APHIS) is proposing to allow, under certain conditions, the importation of commercial consignments of fresh papayas from Peru into the continental United States. The conditions for the importation of papayas from Peru would include requirements for approved production locations; field sanitation; hot water treatment; procedures for packing and shipping the papayas; and fruit fly trapping in papaya production areas. This action would allow for the importation of papayas from Peru while continuing to provide protection against the introduction of quarantine pests into the continental United States._x000D_ _x000D_ Federal Register: Vol. 78, No. 154, Friday, 9 August 2013, pages 48628-48631",Papayas,"080720 - Fresh pawpaws ""papayas""",,Plant protection (SPS),,Packaging; Pests; Plant health; Fruit fly,Peru,2013-10-08 00:00:00,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2012-0014-0001,,,,,,,,,No,No,Yes,No,Yes,,Papayas,,"080720 - Fresh pawpaws ""papayas""",[],[],True,False
United States of America,2013-08-21,Proposed Rule: Importation of Cape Gooseberry from Colombia into the United States (Docket No. APHIS-2012-0038),"The Animal and Plant Health Inspection Service (APHIS) is proposing to amend the fruits and vegetables regulations to allow the importation of cape gooseberry from Colombia into the United States. As a condition of entry, cape gooseberry from Colombia would be subject to a systems approach that would include requirements for establishment of pest-free places of production and the labeling of boxes prior to shipping. The cape gooseberry would also have to be imported in commercial consignments and accompanied by a phytosanitary certificate issued by the national plant protection organization of Colombia certifying that the fruit has been produced in accordance with the systems approach. This action would allow for the importation of cape gooseberry from Colombia into the United States while continuing to provide protection against the introduction of plant pests._x000D_ _x000D_ Federal Register: Vol. 78, No. 159, Friday, 16 August 2013, pages 49972-49975",Cape gooseberry,"081120 - Frozen raspberries, blackberries, mulberries, loganberries, black-, white- or red- currants and gooseberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened",,Plant protection (SPS),,Labelling; Pests; Plant health,Colombia,2013-10-15 00:00:00,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2012-0038-0001,,,,,,,,,No,No,Yes,No,Yes,,Cape gooseberry,,"081120 - Frozen raspberries, blackberries, mulberries, loganberries, black-, white- or red- currants and gooseberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened",[],[],True,False
United States of America,2012-06-08,Notice of Availability of a Treatment Evaluation Document; Methyl Bromide Fumigation of Cottonseed (Docket No. APHIS-2012-0040),"The Animal and Plant Health Inspection Service (APHIS) is advising the public that we have determined that it is necessary to immediately add to the Plant Protection and Quarantine Treatment Manual a treatment schedule for methyl bromide fumigation of cottonseed for the fungal plant pathogen Fusarium oxysporum f. sp. vasinfectum (FOV). We have prepared a treatment evaluation document that describes the new treatment schedule and explains why we have determined that it is effective at neutralizing FOV, certain strains of which are quarantine pests. We are making the treatment evaluation document available to the public for review and comment._x000D_ _x000D_ Federal Register: Volume 77, Number 103 (Tuesday, 29 May 2012), Pages 31564-31566_x000D_",Cotton seed,"120720 - Cotton seeds, whether or not broken",,Plant protection (SPS),,Fungi; Pests; Plant health,,2012-07-30 00:00:00,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2012-0040-0001,,,,,,,,,No,No,Yes,No,Yes,,Cotton seed,,"120720 - Cotton seeds, whether or not broken",[],[],True,False
United States of America,2015-03-12,"Proposed Rule: Exportation of Live Animals, Hatching Eggs, and Animal Germplasm From the United States (Docket No. APHIS-2012-0049)","The Animal and Plant Health Inspection Service (APHIS) is proposing to revise the regulations pertaining to the exportation of livestock from the United States. Among other things, we propose to remove most of the requirements for export health certifications, tests, and treatments from the regulations, and instead would direct exporters to follow the requirements of the importing country regarding such processes and procedures. We propose to retain only those export health certification, testing, and treatment requirements that we consider necessary to have assurances regarding the health and welfare of livestock exported from the United States. We also propose to allow pre-export inspection of livestock to occur at facilities other than an export inspection facility associated with the port of embarkation, under certain circumstances, and propose to replace specific standards for export inspection facilities and ocean vessels with performance standards. These changes would provide exporters and the Animal and Plant Health Inspection Service with more flexibility in arranging for the export of livestock from the United States while continuing to ensure the health and welfare of the livestock. Additionally, if a country is known to require an export health certificate for any animal other than livestock, including pets, or for any hatching eggs or animal germplasm, we propose to require that the animal, hatching eggs, or animal germplasm have an export health certificate to be eligible for export from the United States. This change would help ensure that all animals, hatching eggs, and animal germplasm exported from the United States meet the health requirements of the countries to which they are destined. Finally, we are proposing editorial amendments to the regulations to make them easier to understand and comply with._x000D_ Federal Register Vol. 80, No. 38, Thursday, 26 February 2015, pages 10398-10417.","Live animals, hatching eggs, and animal germplasm","0511 - Animal products n.e.s.; dead animals of all types, unfit for human consumption; 01 - LIVE ANIMALS; 0407 - Birds' eggs, in shell, fresh, preserved or cooked",,Animal health (SPS),,Animal diseases; Animal health,,2015-04-27 00:00:00,,,Regular notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2012-0049-0001,,,,,,,,,No,No,No,Yes,Not applicable,,"Live animals, hatching eggs, and animal germplasm",,"0511 - Animal products n.e.s.; dead animals of all types, unfit for human consumption; 01 - LIVE ANIMALS; 0407 - Birds' eggs, in shell, fresh, preserved or cooked",[],"['0407', '0511']",True,False
United States of America,2016-01-25,"Final Rule: Exportation of Live Animals, Hatching Eggs, and Animal Germplasm From the United States (Docket No. APHIS-2012-0049)","The Animal and Plant Health Inspection Service (APHIS) is revising the regulations pertaining to the exportation of livestock from the United States. Among other things, it is removing most of the requirements for export health certifications, tests, and treatments from the regulations, and instead directing exporters to follow the requirements of the importing country regarding such processes and procedures. APHIS is retaining only those export health certification, testing, and treatment requirements that it considers necessary to have assurances regarding the health and welfare of livestock exported from the United States. It also is allowing pre-export inspection of livestock to occur at facilities other than an export inspection facility associated with the port of embarkation, under certain circumstances, and replacing specific standards for export inspection facilities and ocean vessels with performance standards. These changes will provide exporters and APHIS with more flexibility in arranging for the export of livestock from the United States while continuing to ensure the health and welfare of the livestock. Additionally, if APHIS knows that an importing country requires an export health certificate endorsed by the competent veterinary authority of the United States for any animal other than livestock, including pets, or for any hatching eggs or animal germplasm, it is requiring that the animal, hatching eggs, or animal germplasm have such a health certificate to be eligible for export from the United States. This change will help ensure that all animals, hatching eggs, and animal germplasm exported from the United States meet the health requirements of the countries to which they are destined. Finally, APHIS is making editorial amendments to the regulations to make them easier to understand and comply with._x000D_ _x000D_ This notice is available in English at: http://www.regulations.gov/#!documentDetail;D=APHIS_FRDOC_0001-1868._x000D_ _x000D_ Federal Register, Vol. 81, No. 12, Wednesday, 20 January 2016, pgs. 2967-2986._x000D_ _x000D_ On 26 February 2015, APHIS published in the Federal Register (80 FR 10398-10417, Docket No. APHIS-2012-0049) a proposed rule to remove requirements that it determined to be unnecessary or overly prescriptive from the regulations in order to provide exporters and APHIS with more options for inspecting and handling livestock intended for export. Additionally, APHIS proposed to amend the regulations so that, when an importing country is known to require an export health certificate for any animal other than livestock or for any animal semen, animal embryos, hatching eggs, other embryonated eggs, or gametes intended for export to that country, the animal or other commodity would have to have an export health certificate in order to be eligible for export from the United States. Finally, APHIS proposed to group certain provisions that were located in disparate sections of the regulations, and to make certain other editorial changes to make the regulations easier to read. It solicited comments concerning the proposal for 60 days ending 27 April 2015. APHIS received 48 comments by that date. They were from exporters, brokers, non-profit animal welfare organizations, and private citizens. _x000D_ _x000D_ To view the proposed rule, supporting documents, and the comments received, go to: _x000D_ http://www.regulations.gov/#!documentDetail;D=APHIS-2012-0049-0001.",,"01 - LIVE ANIMALS; 0407 - Birds' eggs, in shell, fresh, preserved or cooked; 0511 - Animal products n.e.s.; dead animals of all types, unfit for human consumption",,Animal health (SPS),,Adoption/publication/entry into force of reg.,,,,,Addendum to Regular Notification,http://www.regulations.gov/#!documentDetail;D=APHIS-2012-0049-0001.,,,,,,,,,,,,,,,,,"01 - LIVE ANIMALS; 0407 - Birds' eggs, in shell, fresh, preserved or cooked; 0511 - Animal products n.e.s.; dead animals of all types, unfit for human consumption",[],"['0407', '0511']",True,False
