description,title,notified_document,hs4,year,month,notif_count,exposure_w
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,8006,2023,8,1,0.24069540625721092
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,8426,2023,8,1,0.22323138300172984
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,8443,2023,8,1,0.1228365788063269
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,8481,2023,8,1,6.0
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,8517,2023,8,1,0.8201705564563153
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,8519,2023,8,1,0.1579525613412549
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,8520,2023,8,1,0.19414169709614723
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,8525,2023,8,1,0.21545601311363569
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,8526,2023,8,1,0.19186301986832732
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,8527,2023,8,1,0.1364690458445041
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,8528,2023,8,1,0.14926780411280077
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,8705,2023,8,1,0.2324173154701749
