notified_document,text,distribution_date,Y_notif
https://members.wto.org/crnattachments/2021/TBT/USA/final_measure/21_0284_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2020-12-29/html/2020-27543.htm https://www.govinfo.gov/content/pkg/FR-2020-12-29/pdf/2020-27543.pdf,"Federal Motor Vehicle Safety Standards; Side Impact Protection, Ejection Mitigation; Technical CorrectionsAGENCY: National Highway Traffic Safety Administration (NHTSA), Department of TransportationACTION: Final rule; technical correctionsSUMMARY: This final rule corrects errors in Federal Motor Vehicle Safety Standard (FMVSS) No. 214, ""Side impact protection,"" and in FMVSS No. 226, ""Ejection mitigation."" The error occurred in FMVSS No. 214 when an amendment to FMVSS No. 214 was transcribed into the Code of Federal Regulations. The error to FMVSS No. 226 arose as a result of a drafting error when NHTSA issued FMVSS No. 226. This final rule amends the standards to reflect the intent of the Agency when it issued the standards.This rule is effective 29 December 2020.This final rule is identified by Docket Number NHTSA-2020-0111. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket?D=NHTSA-2020-0111and provides access to primary documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.The notice of proposed rulemaking ""Side Impact Phase-In Reporting Requirements"" notified as G/TBT/N/USA/57 published on 17 May 2004 at https://www.govinfo.gov/content/pkg/FR-2004-05-17/html/04-10931.htmand https://www.govinfo.gov/content/pkg/FR-2004-05-17/pdf/04-10931.pdfis identified by Docket Number NHTSA-2004-17694. The Docket Folder is available from Regulations.gov at https://www.regulations.gov/docket?D=NHTSA-2004-17694 and provides access to primary documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.A reopening of comment periods; request for comment on addendum to initial regulatory flexibility analysis was published on 12 January 2005 at https://www.govinfo.gov/content/pkg/FR-2005-01-12/html/05-548.htm and https://www.govinfo.gov/content/pkg/FR-2005-01-12/pdf/05-548.pdf, notified as G/TBT/N/USA/57/Add.1 and is identified by Docket Numbers NHTSA-2004-17694 and NHTSA-2004-18864.The Docket Folders are available from Regulations.gov at https://www.regulations.gov/docket?D=NHTSA-2004-17694 and https://www.regulations.gov/docket?D=NHTSA-2004-18864 and provide access to primary documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Numbers.Previous actions notified as G/TBT/N/USA/57/Add.2G/TBT/N/USA/57/Add.3 and G/TBT/N/USA/57/Add.4 are identified by Docket Number NHTSA-2010-0032. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket?D=NHTSA-2010-0032. Documents are accessible from Regulations.govin the Docket Folder or by searching the Docket Number.G/TBT/N/USA/507 and subsequent addenda and corrigendum: Federal Motor Vehicle Safety Standards, Ejection Mitigation; Phase-In Reporting Requirements, identified by Docket Number NHTSA-2013-0097.The Docket Folder containing relevant documents is available from Regulations.gov at https://www.regulations.gov/docket?D=NHTSA-2013-0097, and can also be accessed by searching the Docket Number on Regulations.gov",2021-01-08 00:00:00+00:00,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0320_00_e.pdf,"Notice - The Environmental Protection Agency (EPA) is announcing the availability of the final Toxic Substances Control Act (TSCA) risk evaluation of n-Methylpyrrolidone (NMP). The purpose of conducting risk evaluations under TSCA is to determine whether a chemical substance presents an unreasonable risk of injury to health or the environment under the conditions of use, including an unreasonable risk to a relevant potentially exposed or susceptible subpopulation, without consideration of costs or other nonrisk factors. EPA has determined that specific conditions of use of NMP present an unreasonable risk of injury to health. For those conditions of use for which EPA has found an unreasonable risk, EPA must take regulatory action to address that unreasonable risk through risk management measures enumerated in TSCA. EPA has also determined that specific conditions of use do not present unreasonable risk of injury to health or the environment. For those conditions of use for which EPA has found no unreasonable risk to health or the environment, the Agency's determination is a final Agency action and is issued via order in the risk evaluation.",2021-01-11 00:00:00+00:00,1
https://members.wto.org/crnattachments/2021/TBT/USA/21_0322_00_e.pdf,"Direct final rule; request for comments - This direct final rule incorporates by reference American Petroleum Institute's (API's) reaffirmation of 21 production measurement publications (each referred to herein as a ""standard""). This direct final rule updates the reaffirmation date of industry standards already incorporated in regulations administered by the Bureau of Safety and Environmental Enforcement (BSEE). This rule does not include any new editions of incorporated standards, nor does it incorporate any new standards. Rather, it merely acknowledges API's subsequent reaffirmation, without change, of standards previously incorporated by reference. Incorporation of these reaffirmed documents will ensure that the citations to standards for the measurement of oil and gas production flow rates and volumes incorporated into the regulations are up to date. This rule will update incorporated measurement standards, thereby eliminating confusion in identifying the correct measurement standards required to be used.",2021-01-11 00:00:00+00:00,0
https://members.wto.org/crnattachments/2021/TBT/USA/final_measure/21_0323_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2021-01-08/html/2020-27375.htm https://www.govinfo.gov/content/pkg/FR-2021-01-08/pdf/2020-27375.pdf,"Federal Motor Vehicle Safety Standards; Motorcycle Brake Systems; Motorcycle Controls and DisplaysAGENCY: National Highway Traffic Safety Administration (NHTSA), Department of TransportationACTION: Final rule; technical correctionsSUMMARY: This document amends Federal Motor Vehicle Safety Standards (FMVSS) Nos. 122 and 123 to allow the use of an internationally recognized symbol. It also relocates the telltale specifications for anti-lock braking system (ABS) malfunction from FMVSS No. 101 to the appropriate table in FMVSS No. 123 since the latter applies to motorcycles. In addition, this final rule makes two technical corrections: It corrects motorcycle category references in S6.3.2 of FMVSS No. 122 and an outdated table reference found in FMVSS No. 135.DATES: This final rule is effective on 8 January 2021.Petitions for reconsideration: Petitions for reconsideration of this final rule must be received by 22 February 2021.This action is identified by Docket Number NHTSA-2020-0110. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket?D=NHTSA-2020-0110and provides access to primary documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number. WTO Members and their stakeholders are asked to submit comments to the USA TBT Enquiry Point. Comments received by the USA TBT Enquiry Point from WTO Members and their stakeholders will be shared with the regulator and will also be submitted to the Docket on Regulations.gov if received within the comment period. The notice of proposed rulemaking notified as G/TBT/N/USA/418 is identified by Docket Number NHTSA-2008-0150. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket?D=NHTSA-2008-0150 and provides access to primary and other documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.The final rule notified as G/TBT/N/USA/418/Add.1 is identified by Docket Number NHTSA-2012-0123. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket?D=NHTSA-2012-0123and is also accessible from Regulations.gov by searching the Docket Number.",2021-01-11 00:00:00+00:00,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0325_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2021-01-08/html/2020-28761.htm https://www.govinfo.gov/content/pkg/FR-2021-01-08/pdf/2020-28761.pdf,,2021-01-12 00:00:00+00:00,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0386_00_e.pdf,"Proposed rule - The Commission proposes to update its radiofrequency (RF) device marketing and importation rules in order to allow equipment manufacturers to better gauge consumer interest and prepare for new product launches. In particular, the Commission proposes limited exceptions to its requirement that RF devices receive equipment authorization prior to marketing in or importation to the United States and it seeks comment on the conditions necessary to ensure that parties who utilize such exceptions ultimately bring such devices into full compliance with the Commission's equipment authorization rules.",2021-01-13 00:00:00+00:00,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0388_00_e.pdf https://members.wto.org/crnattachments/2021/TBT/USA/21_0388_01_e.pdf https://members.wto.org/crnattachments/2021/TBT/USA/21_0388_02_e.pdf https://members.wto.org/crnattachments/2021/TBT/USA/21_0388_03_e.pdf,"Notice of proposed rulemaking - Proposes to amend certain sections of Article 6 of Title 27 of the California Code of Regulations.OEHHA adopted new Article 6 Clear and Reasonable Warnings regulations in August 2016, which became operative in August 2018. The Article 6 regulations adopted safe harbor warning methods and content for consumer product exposures that included provisions for a short-form warning. However, there has been widespread use of short-form warnings in ways that were not intended and do not further the purposes of Proposition 65.",2021-01-13 00:00:00+00:00,0
https://members.wto.org/crnattachments/2021/TBT/USA/final_measure/21_0390_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2021-01-12/html/2020-28227.htm https://www.govinfo.gov/content/pkg/FR-2021-01-12/pdf/2020-28227.pdf,"Manufactured Home Construction and Safety StandardsLE: AGENCY: Office of the Assistant Secretary for Housing - Federal Housing Commissioner, HUDACTION: Final ruleSUMMARY: This final rule amends the Federal Manufactured Home Construction and Safety Standards (the Construction and Safety Standards) by adopting recommendations made to HUD by the Manufactured Housing Consensus Committee (MHCC), as modified by HUD. The National Manufactured Housing Construction and Safety Standards Act of 1974 (the Act) requires HUD to publish in the proposed revised Construction and Safety Standards submitted by the MHCC. The MHCC prepared and submitted to HUD its third group of recommendations to improve various aspects of the Construction and Safety Standards. HUD reviewed those recommendations and adopted some of them after making editorial revisions and some additions. This final rule further revises the Construction and Safety Standards based on HUD's review and incorporation of certain public comments.DATES: _x000D_ Effective Date: 15 March 2021. The incorporation by reference of certain publications listed in the rule is approved by the Director of the Federal Register as of 15 March 2021. The incorporation by reference of certain other publications listed in the rule was approved by the Director of the Federal Register as of 11 August 1987.",2021-01-13 00:00:00+00:00,0
https://members.wto.org/crnattachments/2021/TBT/USA/final_measure/21_0389_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2021-01-12/html/2020-26706.htm https://www.govinfo.gov/content/pkg/FR-2021-01-12/pdf/2020-26706.pdf,"Unlicensed White Space Device Operations in the Television BandsAGENCY: Federal Communications CommissionACTION: Final ruleSUMMARY: In this document, the Commission revises its rules to expand the ability of unlicensed white space devices to deliver wireless broadband services in rural areas and areas where fewer broadcast television stations are on the air. The Commission also modifies its rules to facilitate the development of new and innovative narrowband Internet of Things (IoT) devices in TV white spaces. Unlicensed white space devices operate in the VHF and UHF broadcast TV bands, a spectral region that has excellent propagation characteristics that are particularly attractive for delivering wireless communications services over long distances, varying terrain, and into and within buildings. The Commission adopts a number of changes to the white space device rules to spur continued growth of the white space ecosystem, especially for providing affordable broadband service to rural and unserved communities that can help close the digital divide, while at the same time protecting broadcast television stations in the band from harmful interference.DATES: Effective 11 February 2021, except for amendatory instruction 4.f. for Sec. 15.709(g)(1)(ii), which is delayed. The Commission will publish a document in the Federal Register announcing the effective date.SUPPLEMENTARY INFORMATION: The full text of the Commission's document, Report and Order, FCC 20-156, ET Docket No. 20-36, adopted 27 October 2020 and released 28 October 2020 can be downloaded at https://www.fcc.gov/document/fcc-increases-unlicensed-wireless-operations-tv-white-spaces-0or by using the search function for ET Docket No. 20-36 on the Commission's Electronic Comment Filing System (ECFS) web page at www.fcc.gov/ecfs.",2021-01-13 00:00:00+00:00,0
https://members.wto.org/crnattachments/2021/TBT/USA/final_measure/21_0363_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2021-01-11/html/2021-00208.htm https://www.govinfo.gov/content/pkg/FR-2021-01-11/pdf/2021-00208.pdf,"Pipeline Safety: Gas Pipeline Regulatory ReformAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), DOTACTION: Final rule; withdrawal of enforcement discretionSUMMARY: PHMSA is amending the Federal Pipeline Safety Regulations to ease regulatory burdens on the construction, maintenance, and operation of gas transmission, distribution, and gathering pipeline systems without adversely affecting safety. The amendments in this rule are based on rulemaking petitions from stakeholders, and DOT and PHMSA initiatives to identify appropriate areas where regulations might be repealed, replaced, or modified, and PHMSA's review of public comments. PHMSA also, as of the effective date of this final rule, withdraws the 29 March 2019 ""Exercise of Enforcement Discretion Regarding Farm Taps"" and the unpublished 27 October 2015 letter to the Interstate Natural Gas Association of America announcing a stay of enforcement pertaining to certain pressure vessels.DATES:Effective Date: This rule is effective 12 March 2021.Incorporation by reference date: The incorporation by reference of certain publications listed in the rule is approved by the Director of the Federal Register as of 12 March 2021.Voluntary compliance date: 12 March 2021.Delayed compliance date: Compliance with the amendments adopted in the rule is required beginning 1 October 2021.Enforcement discretion withdrawal date: The withdrawal of 84 FR 11253 (26 March 2019) is effective as of 12 March 2021.This final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1624 are identified by Docket Number PHMSA-2018-0046. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket?D=PHMSA-2018-0046 and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",2021-01-13 00:00:00+00:00,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0437_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2021-01-13/html/C1-2020-23353.htm https://www.govinfo.gov/content/pkg/FR-2021-01-13/pdf/C1-2020-23353.pdf,,2021-01-14 00:00:00+00:00,1
https://members.wto.org/crnattachments/2021/TBT/USA/21_0436_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2021-01-13/html/C1-2020-28107.htm https://www.govinfo.gov/content/pkg/FR-2021-01-13/pdf/C1-2020-28107.pdf,,2021-01-14 00:00:00+00:00,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0538_00_e.pdf,"TITLE: Pipeline Safety: Frequently Asked Questions on the Gas Transmission RuleAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), DOTACTION: Notification and request for commentsSUMMARY: PHMSA is seeking public comment on a second set of draft frequently asked questions (Batch-2 FAQs) to facilitate implementation of its final rule titled ""Safety of Gas Transmission Pipelines: MAOP Reconfirmation, Expansion of Assessment Requirements, and other Related Amendments"" (Gas Transmission Rule).DATES: Comments on the draft Batch-2 FAQs should be submitted to Docket No. PHMSA-2019-0225 no later than 16 March 2021.This notification and request for comments and an announcement of public meeting and request for comments notified as G/TBT/N/USA/1040/Add.2 are identified by Docket Number PHMSA-2019-0225. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket?D=PHMSA-2019-0225and provides access to primary documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.The notice of proposed rulemaking notified as G/TBT/N/USA/1040 and the final rule notified as G/TBT/N/USA/1040/Add.1 are identified by Docket Number PHMSA-2010-0229. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket?D=PHMSA-2010-0229 and provides access to primary documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.G/TBT/N/USA/1117 and subsequent addenda - Pipeline Safety: Safety of Gas Transmission and Gathering Pipelines",2021-01-20 00:00:00+00:00,0
